"filename", "language", "JavaScript", "JSON", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\viliu\Desktop\recipdo-app (newman)\constants\images.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\viliu\Desktop\recipdo-app (newman)\constants\index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\viliu\Desktop\recipdo-app (newman)\constants\theme.js", "JavaScript", 84, 0, 0, 0, 0, 0, 9, 93
"c:\Users\viliu\Desktop\recipdo-app (newman)\coverage\clover.xml", "XML", 0, 0, 0, 0, 203, 0, 1, 204
"c:\Users\viliu\Desktop\recipdo-app (newman)\coverage\coverage-final.json", "JSON", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\viliu\Desktop\recipdo-app (newman)\coverage\lcov-report\base.css", "CSS", 0, 0, 203, 0, 0, 9, 13, 225
"c:\Users\viliu\Desktop\recipdo-app (newman)\coverage\lcov-report\block-navigation.js", "JavaScript", 66, 0, 0, 0, 0, 7, 15, 88
"c:\Users\viliu\Desktop\recipdo-app (newman)\coverage\lcov-report\config\firebase\config.js.html", "HTML", 0, 0, 0, 140, 0, 0, 14, 154
"c:\Users\viliu\Desktop\recipdo-app (newman)\coverage\lcov-report\config\firebase\index.html", "HTML", 0, 0, 0, 102, 0, 0, 14, 116
"c:\Users\viliu\Desktop\recipdo-app (newman)\coverage\lcov-report\functions\RecipeFunctions.js.html", "HTML", 0, 0, 0, 857, 0, 0, 14, 871
"c:\Users\viliu\Desktop\recipdo-app (newman)\coverage\lcov-report\functions\SearchFunctions.js.html", "HTML", 0, 0, 0, 311, 0, 0, 14, 325
"c:\Users\viliu\Desktop\recipdo-app (newman)\coverage\lcov-report\functions\StatisticsFunctions.js.html", "HTML", 0, 0, 0, 251, 0, 0, 14, 265
"c:\Users\viliu\Desktop\recipdo-app (newman)\coverage\lcov-report\functions\index.html", "HTML", 0, 0, 0, 130, 0, 0, 16, 146
"c:\Users\viliu\Desktop\recipdo-app (newman)\coverage\lcov-report\index.html", "HTML", 0, 0, 0, 116, 0, 0, 15, 131
"c:\Users\viliu\Desktop\recipdo-app (newman)\coverage\lcov-report\prettify.css", "CSS", 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\viliu\Desktop\recipdo-app (newman)\coverage\lcov-report\prettify.js", "JavaScript", 1, 0, 0, 0, 0, 1, 1, 3
"c:\Users\viliu\Desktop\recipdo-app (newman)\coverage\lcov-report\sorter.js", "JavaScript", 165, 0, 0, 0, 0, 17, 15, 197
"c:\Users\viliu\Desktop\recipdo-app (newman)\firebase.json", "JSON", 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\viliu\Desktop\recipdo-app (newman)\functions\ProductFunctions.js", "JavaScript", 68, 0, 0, 0, 0, 0, 10, 78
"c:\Users\viliu\Desktop\recipdo-app (newman)\functions\RecipeDetailsFunctions.js", "JavaScript", 332, 0, 0, 0, 0, 5, 54, 391
"c:\Users\viliu\Desktop\recipdo-app (newman)\functions\RecipeFunctions.js", "JavaScript", 221, 0, 0, 0, 0, 5, 37, 263
"c:\Users\viliu\Desktop\recipdo-app (newman)\functions\SearchFunctions.js", "JavaScript", 73, 0, 0, 0, 0, 0, 8, 81
"c:\Users\viliu\Desktop\recipdo-app (newman)\functions\StatisticsFunctions.js", "JavaScript", 46, 0, 0, 0, 0, 1, 14, 61
"c:\Users\viliu\Desktop\recipdo-app (newman)\functions\UserFunctions.js", "JavaScript", 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\viliu\Desktop\recipdo-app (newman)\functions\package-lock.json", "JSON", 0, 2167, 0, 0, 0, 0, 1, 2168
"c:\Users\viliu\Desktop\recipdo-app (newman)\functions\package.json", "JSON", 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\viliu\Desktop\recipdo-app (newman)\functions\search.test.js", "JavaScript", 77, 0, 0, 0, 0, 12, 20, 109
"c:\Users\viliu\Desktop\recipdo-app (newman)\functions\statistics.test.js", "JavaScript", 74, 0, 0, 0, 0, 0, 20, 94
"c:\Users\viliu\Desktop\recipdo-app (newman)\navigation\AddProductStackNavigator.js", "JavaScript", 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\viliu\Desktop\recipdo-app (newman)\navigation\AppNavigator.js", "JavaScript", 23, 0, 0, 0, 0, 0, 5, 28
