"filename", "language", "JSON", "JavaScript", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\viliu\Desktop\recipdo_app\components\unauthorizedComponents\register\register.style.js", "JavaScript", 0, 85, 0, 0, 0, 0, 4, 89
"c:\Users\viliu\Desktop\recipdo_app\components\unauthorizedComponents\start\Start.js", "JavaScript", 0, 30, 0, 0, 0, 1, 4, 35
"c:\Users\viliu\Desktop\recipdo_app\components\unauthorizedComponents\start\start.style.js", "JavaScript", 0, 79, 0, 0, 0, 0, 4, 83
"c:\Users\viliu\Desktop\recipdo_app\config\firebase\config.js", "JavaScript", 0, 19, 0, 0, 0, 1, 4, 24
"c:\Users\viliu\Desktop\recipdo_app\constants\icons.js", "JavaScript", 0, 24, 0, 0, 0, 0, 2, 26
"c:\Users\viliu\Desktop\recipdo_app\constants\images.js", "JavaScript", 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\viliu\Desktop\recipdo_app\constants\index.js", "JavaScript", 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\viliu\Desktop\recipdo_app\constants\theme.js", "JavaScript", 0, 84, 0, 0, 0, 0, 9, 93
"c:\Users\viliu\Desktop\recipdo_app\coverage\clover.xml", "XML", 0, 0, 203, 0, 0, 0, 1, 204
"c:\Users\viliu\Desktop\recipdo_app\coverage\coverage-final.json", "JSON", 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\base.css", "CSS", 0, 0, 0, 203, 0, 9, 13, 225
"c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\block-navigation.js", "JavaScript", 0, 66, 0, 0, 0, 7, 15, 88
"c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\config\firebase\config.js.html", "HTML", 0, 0, 0, 0, 140, 0, 14, 154
"c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\config\firebase\index.html", "HTML", 0, 0, 0, 0, 102, 0, 14, 116
"c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\functions\RecipeFunctions.js.html", "HTML", 0, 0, 0, 0, 857, 0, 14, 871
"c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\functions\SearchFunctions.js.html", "HTML", 0, 0, 0, 0, 311, 0, 14, 325
"c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\functions\StatisticsFunctions.js.html", "HTML", 0, 0, 0, 0, 251, 0, 14, 265
"c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\functions\index.html", "HTML", 0, 0, 0, 0, 130, 0, 16, 146
"c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\index.html", "HTML", 0, 0, 0, 0, 116, 0, 15, 131
"c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\prettify.css", "CSS", 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\prettify.js", "JavaScript", 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\viliu\Desktop\recipdo_app\coverage\lcov-report\sorter.js", "JavaScript", 0, 165, 0, 0, 0, 17, 15, 197
"c:\Users\viliu\Desktop\recipdo_app\firebase.json", "JSON", 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\viliu\Desktop\recipdo_app\functions\ProductFunctions.js", "JavaScript", 0, 68, 0, 0, 0, 0, 10, 78
"c:\Users\viliu\Desktop\recipdo_app\functions\RecipeDetailsFunctions.js", "JavaScript", 0, 332, 0, 0, 0, 5, 54, 391
"c:\Users\viliu\Desktop\recipdo_app\functions\RecipeFunctions.js", "JavaScript", 0, 221, 0, 0, 0, 5, 37, 263
"c:\Users\viliu\Desktop\recipdo_app\functions\SearchFunctions.js", "JavaScript", 0, 73, 0, 0, 0, 0, 8, 81
"c:\Users\viliu\Desktop\recipdo_app\functions\StatisticsFunctions.js", "JavaScript", 0, 46, 0, 0, 0, 1, 14, 61
"c:\Users\viliu\Desktop\recipdo_app\functions\UserFunctions.js", "JavaScript", 0, 16, 0, 0, 0, 0, 3, 19
"c:\Users\viliu\Desktop\recipdo_app\functions\package-lock.json", "JSON", 2167, 0, 0, 0, 0, 0, 1, 2168
"c:\Users\viliu\Desktop\recipdo_app\functions\package.json", "JSON", 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\viliu\Desktop\recipdo_app\functions\search.test.js", "JavaScript", 0, 77, 0, 0, 0, 12, 20, 109
"c:\Users\viliu\Desktop\recipdo_app\functions\statistics.test.js", "JavaScript", 0, 74, 0, 0, 0, 0, 20, 94
"c:\Users\viliu\Desktop\recipdo_app\navigation\AddProductStackNavigator.js", "JavaScript", 0, 17, 0, 0, 0, 0, 4, 21
"c:\Users\viliu\Desktop\recipdo_app\navigation\AppNavigator.js", "JavaScript", 0, 23, 0, 0, 0, 0, 5, 28
"c:\Users\viliu\Desktop\recipdo_app\navigation\AuthNavigator.js", "JavaScript", 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\viliu\Desktop\recipdo_app\navigation\MainAppNavigator.js", "JavaScript", 0, 49, 0, 0, 0, 0, 7, 56
"c:\Users\viliu\Desktop\recipdo_app\navigation\MainStackNavigator.js", "JavaScript", 0, 21, 0, 0, 0, 0, 4, 25
"c:\Users\viliu\Desktop\recipdo_app\navigation\PantryStackNavigator.js", "JavaScript", 0, 21, 0, 0, 0, 0, 4, 25
"c:\Users\viliu\Desktop\recipdo_app\navigation\SavedRecipesStackNavigator.js", "JavaScript", 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\viliu\Desktop\recipdo_app\navigation\SearchStackNavigator.js", "JavaScript", 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\viliu\Desktop\recipdo_app\newman\SpoonacularAPI_tests.json", "JSON", 383, 0, 0, 0, 0, 0, 0, 383
"c:\Users\viliu\Desktop\recipdo_app\package-lock.json", "JSON", 12430, 0, 0, 0, 0, 0, 1, 12431
"c:\Users\viliu\Desktop\recipdo_app\package.json", "JSON", 59, 0, 0, 0, 0, 0, 1, 60
"Total", "-", 15099, 6705, 203, 204, 1907, 85, 735, 24938
